address,zip,price,beds,baths,sqft,year_built,property_type,latitude,longitude
"465 Brickell Ave, Apt 619, Miami, FL 33131",33131,5000,2,2.0,1325.0,2008.0,Condo,25.769084,-80.188605
"1050 Brickell Ave, Apt 1904, Miami, FL 33131",33131,3300,1,1.0,731.0,2008.0,Condo,25.763279,-80.192195
"650 Ne 32nd St, Unit 2108, Miami, FL 33137",33137,4500,1,1.5,706.0,2018.0,Condo,25.806422,-80.186024
"2020 N Bayshore Dr, Apt 2704, Miami, FL 33137",33137,7800,2,2.0,1135.0,2010.0,Condo,25.796635,-80.187924
"501 Ne 31st St, Unit 3003, Miami, FL 33137",33137,3150,1,1.5,662.0,2018.0,Condo,25.806864,-80.187489
"700 Ne 25th St, Apt 1503, Miami, FL 33137",33137,5250,2,2.0,1382.0,2007.0,Condo,25.800818,-80.185675
"460 Ne 28th St, Apt 1901, Miami, FL 33137",33137,6000,2,2.0,1311.0,2015.0,Condo,25.803847,-80.18741
"555 Ne 34th St, Apt 805, Miami, FL 33137",33137,4234,1,1.0,991.0,1984.0,Apartment,25.808952,-80.186363
"551 Ne 39th St, Miami, FL 33137",33137,3331,1,1.0,870.0,1971.0,Apartment,25.81376,-80.18619
"460 Ne 28th St, Apt 4104, Miami, FL 33137",33137,15000,5,5.0,2569.0,2015.0,Condo,25.803847,-80.18741
"3131 Ne 7th Ave, Unit 1902, Miami, FL 33137",33137,6500,1,1.5,959.0,2018.0,Apartment,25.807376,-80.185864
"3301 Ne 1st Ave, Apt H1711, Miami, FL 33137",33137,3550,1,1.5,761.0,2008.0,Condo,25.807767,-80.192271
"460 Ne 28th St, Apt 1708, Miami, FL 33137",33137,7000,3,2.5,1395.0,2015.0,Condo,25.803847,-80.18741
"2001 Biscayne Blvd, Apt 2502, Miami, FL 33137",33137,3000,1,1.0,850.0,2004.0,Condo,25.795596,-80.188108
"2001 Biscayne Blvd, Apt 2402, Miami, FL 33137",33137,3350,2,2.0,1094.0,2004.0,Condo,25.795596,-80.188108
"2020 N Bayshore Dr, Apt 908, Miami, FL 33137",33137,6750,2,2.0,1128.0,2010.0,Condo,25.796635,-80.187924
"700 Ne 26th Ter, Unit 3504, Miami, FL 33137",33137,5300,1,1.0,775.0,2023.0,Condo,25.802066,-80.185611
"2020 N Bayshore Dr, Apt 3303, Miami, FL 33137",33137,14000,3,3.0,1708.0,2010.0,Condo,25.796635,-80.187924
"3250 Ne 1st Ave, Apt 501, Miami, FL 33137",33137,5500,2,2.0,1205.0,2007.0,Condo,25.807486,-80.193382
"460 Ne 28th St, Apt 1101, Miami, FL 33137",33137,6500,2,2.0,1311.0,2015.0,Condo,25.803847,-80.18741
"4250 Biscayne Blvd, Apt 810, Miami, FL 33137",33137,2300,0,1.0,472.0,2015.0,Condo,25.815608,-80.189226
"555 Ne 34th St, Apt 2402, Miami, FL 33137",33137,5814,2,2.0,1398.0,1984.0,Apartment,25.809242,-80.186363
"501 Ne 31st St, Unit 203, Miami, FL 33137",33137,3150,1,1.0,622.0,2018.0,Condo,25.806864,-80.187489
"700 Ne 24th St, Unit 4303, Miami, FL 33137",33137,10000,3,3.5,1641.0,2025.0,Condo,25.800154,-80.18589
"460 Ne 28th St, Apt 3405, Miami, FL 33137",33137,5100,2,2.0,1143.0,2015.0,Condo,25.803847,-80.18741
"460 Ne 28th St, Apt 3906, Miami, FL 33137",33137,5400,2,2.0,1073.0,2015.0,Condo,25.803847,-80.18741
"555 Ne 52nd Ter, Miami, FL 33137",33137,16500,4,3.0,2586.0,1950.0,Single Family,25.824733,-80.183536
"700 Ne 24th St, Unit 2807, Miami, FL 33137",33137,15000,4,5.5,2580.0,2025.0,Condo,25.800154,-80.18589
"245 Ne 33rd St, Apt 207, Miami, FL 33137",33137,1800,0,1.0,500.0,1938.0,Apartment,25.808005,-80.190249
"3131 Ne 7th Ave, Unit 3003, Miami, FL 33137",33137,9800,3,3.5,1526.0,2018.0,Condo,25.807376,-80.185864
"460 Ne 28th St, Apt 3203, Miami, FL 33137",33137,4800,2,2.0,1173.0,2015.0,Condo,25.803847,-80.18741
"313 Ne 57th St, Unit 313, Miami, FL 33137",33137,1800,2,1.0,750.0,1963.0,Apartment,25.828102,-80.189629
"128 Ne 46th St, Unit 3, Miami, FL 33137",33137,3000,1,1.0,725.0,1925.0,Condo,25.81758,-80.192975
"600 Ne 36th St, Apt 1519, Miami, FL 33137",33137,2800,1,1.5,757.0,1973.0,Condo,25.810143,-80.186461
"600 Ne 36th St, Apt 619, Miami, FL 33137",33137,2700,1,1.5,757.0,1973.0,Condo,25.810143,-80.186461
"555 Ne 34th St, Apt 704, Miami, FL 33137",33137,5274,2,2.0,1404.0,1984.0,Apartment,25.809242,-80.186363
"501 Ne 31st St, Unit 1204, Miami, FL 33137",33137,3400,1,1.5,610.0,2018.0,Condo,25.806864,-80.187489
"555 Ne 34th St, Apt 1906, Miami, FL 33137",33137,5038,2,2.0,1291.0,1984.0,Apartment,25.809242,-80.186363
"555 Ne 34th St, Apt 2506, Miami, FL 33137",33137,5188,2,2.0,1291.0,1984.0,Apartment,25.809242,-80.186363
"460 Ne 28th St, Apt 2502, Miami, FL 33137",33137,4500,1,1.0,854.0,2015.0,Condo,25.803847,-80.18741
"500 Ne 29th St, Apt 1105, Miami, FL 33137",33137,2800,1,1.0,706.0,2007.0,Condo,25.804142,-80.186248
"350 Ne 24th St, Apt 406, Miami, FL 33137",33137,3300,2,2.0,948.0,2008.0,Condo,25.799867,-80.188646
"650 Ne 32nd St, Unit 2007, Miami, FL 33137",33137,5000,1,2.0,898.0,2018.0,Condo,25.806422,-80.186024
"700 Ne 24th St, Unit 4007, Miami, FL 33137",33137,20000,4,5.5,2582.0,2025.0,Condo,25.800154,-80.18589
"700 Ne 25th St, Apt 1701, Miami, FL 33137",33137,2800,0,1.0,556.0,2007.0,Apartment,25.800818,-80.185675
"165 Ne 56th St, Apt 1, Miami, FL 33137",33137,1650,1,1.0,700.0,1952.0,Apartment,25.827355,-80.192813
"120 Ne 55th St, Apt 4, Miami, FL 33137",33137,1700,1,1.0,750.0,1953.0,Apartment,25.825956,-80.193721
"480 Ne 31st St, Unit 3407, Miami, FL 33137",33137,12900,3,3.0,1649.0,2019.0,Condo,25.806196,-80.186727
"3131 Ne 7th Ave, Unit 2301, Miami, FL 33137",33137,12000,3,3.5,1634.0,2018.0,Condo,25.807376,-80.185864
"437 Ne 30th St, Apt 4, Miami, FL 33137",33137,1500,1,1.0,5520.0,1918.0,Apartment,25.805648,-80.187806
"555 Ne 34th St, Apt 2607, Miami, FL 33137",33137,5098,2,2.0,1291.0,1984.0,Apartment,25.809242,-80.186363
"650 Ne 64th St, Apt G309, Miami, FL 33138",33138,2400,1,1.0,775.0,1983.0,Condo,25.834693,-80.18304
